Country,Type,Total Population (Thousands),Total Population,Male Population (Thousands),Male Population,Female Population (Thousands),Female Population,"Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years)
Mauritania,Western Africa,4615,4615000,2261,2261000,2354,2354000,64.4,62.7,66.1
Mauritius,Eastern Africa,1299,1299000,641,641000,658,658000,73.6,70.4,76.8
Mayotte,Eastern Africa,316,316000,150,150000,166,166000,74.2,71,77.8
Melanesia,Australia/New Zealand,12189,12189000,6267,6267000,5922,5922000,70.2,66.1,74.9
Mexico,Central America,126705,126705000,61856,61856000,64849,64849000,70.7,67.1,74.6
Micronesia (Fed. States of),Micronesia,113,113000,57,57000,56,56000,85.9,84.3,87.7
Monaco,Western Europe,37,37000,18,18000,19,19000,71,66.5,75.7
Mongolia,Eastern Asia,3348,3348000,1661,1661000,1686,1686000,76.3,73,79.8
Montenegro,Southern Europe,628,628000,306,306000,322,322000,75.6,74.3,77.2
Montserrat,Caribbean,4,4000,2,2000,2,2000,74,71.9,76.4
Morocco,Northern Africa,37077,37077000,18666,18666000,18411,18411000,59.3,56.2,62.4
Mozambique,Eastern Africa,32077,32077000,15737,15737000,16340,16340000,65.7,62.5,69
Myanmar,South-Eastern Asia,53798,53798000,26783,26783000,27015,27015000,59.3,55.7,63
Namibia,Southern Africa,2530,2530000,1221,1221000,1309,1309000,63.6,60.3,67.3
Nauru,Micronesia,13,13000,6,6000,6,6000,68.5,66.6,70.4
Nepal,Southern Asia,30035,30035000,14371,14371000,15664,15664000,81.7,80,83.4
Netherlands,Western Europe,17502,17502000,8696,8696000,8805,8805000,79,75.4,83.1
New Caledonia,Australia/New Zealand,288,288000,143,143000,145,145000,82.5,80.6,84.3
New Zealand,Australia/New Zealand,5130,5130000,2542,2542000,2587,2587000,73.8,70.8,76.8
Nicaragua,Central America,6851,6851000,3376,3376000,3475,3475000,61.6,60.4,62.8
Niger,Western Africa,25253,25253000,12809,12809000,12444,12444000,52.7,52.3,53.1
Nigeria,Western Africa,213401,213401000,107827,107827000,105574,105574000,70.8,69,72.6
Niue,Polynesia,2,2000,1,1000,1,1000,73.8,71.7,76.2
